co-lpso 	Colorado 	La Plata Sheriff's Office 	Y
co-lkso 	Colorado 	Lake County Sheriff's Office 	Y
co-lrso 	Colorado 	Larimer Co Sheriff's Office 	Y
co-lcso 	Colorado 	Lincoln Co Sheriff's Office 	Y
co-mcso 	Colorado 	Moffat County Sheriff's Office 	Y
co-mnso 	Colorado 	Montezuma Co Sheriff's Office 	Y
co-ocso 	Colorado 	Otero Co Sheriff's Office 	Y
co-pcsd 	Colorado 	Pitkin Co Sheriff's Dept 	Y
co-pcso 	Colorado 	Pueblo Co Sheriff's Office 	Y
co-rcso 	Colorado 	Routt Co Sheriff's Office 	Y
co-ycsd 	Colorado 	Yuma Co Sheriff's Dept 	Y
ct-cdc 	Connecticut 	Connecticut Dept of Corrections 	Y
fl-alac 	Florida 	Alachua County Sheriff's Office 	Y
fl-brad 	Florida 	Bradford County Sheriff's Office 	Y
fl-bcso 	Florida 	Brevard County Sheriff's Office 	Y
fl-bso 	Florida 	Broward Sheriff's Office 	Y
fl-chso 	Florida 	Charlotte Co Sheriff's Office 	Y
fl-coll 	Florida 	Collier County Sheriff's Office 	Y
fl-ccso 	Florida 	Columbia County Sheriff's Office 	Y
fl-dcso 	Florida 	Desoto County Sheriff's Office 	Y
fl-ecso 	Florida 	Escambia County Sheriff's Office 	Y
fl-flag 	Florida 	Flagler County Sheriff's Office 	Y
fl-fcso 	Florida 	Franklin Co Sheriff's Office 	Y
fl-gcso 	Florida 	Gadsden County Sheriff's Office 	Y
fl-giso 	Florida 	Gilchrist County Sheriff’s Office 	Y
fl-glds 	Florida 	Glades County Sheriff's Office 	Y
fl-hmltn 	Florida 	Hamilton County Sheriff's Office 	Y
fl-hrso 	Florida 	Hardee County Sheriff's Office 	Y
fl-hndr 	Florida 	Hendry County Sheriff's Office 	Y
fl-hern 	Florida 	Hernando County Sheriff's Office 	Y
fl-hcso 	Florida 	Hillsborough County Sheriff's Office 	Y
fl-hlso 	Florida 	Holmes County Sheriff's Office 	Y
fl-jso 	Florida 	Jacksonville Sheriff's Office 	Y
fl-lake 	Florida 	Lake County Sheriff's Office 	Y
fl-lcso 	Florida 	Lee County Sheriff's Office 	Y
fl-levy 	Florida 	Levy County Sheriff's Office 	Y
fl-mana 	Florida 	Manatee County Sheriff's Office 	Y
fl-mcso 	Florida 	Marion County Sheriff's Office 	Y
fl-mart 	Florida 	Martin County Sheriff's Office 	Y
fl-mdc 	Florida 	Miami-Dade County Corrections 	Y
fl-monr 	Florida 	Monroe County Sheriff's Office 	Y
fl-ncso 	Florida 	Nassau County Sheriff's Office 	Y
fl-ocj 	Florida 	Okeechobee County Jail 	Y
fl-occ 	Florida 	Orange County Corrections 	Y
fl-occd 	Florida 	Osceola County Corrections Department 	Y
fl-pbso 	Florida 	Palm Beach County Sheriff's Office 	Y
fl-pso 	Florida 	Pasco Sheriff's Office 	Y
fl-pcso 	Florida 	Pinellas County Sheriff's Office 	Y
fl-pkso 	Florida 	Polk County Sheriff's Office 	Y
fl-putn 	Florida 	Putnam County Sheriff's Office 	Y
fl-srcso 	Florida 	Santa Rosa County Sheriff's Office 	Y
fl-sara 	Florida 	Sarasota County Sheriff's Office 	Y
fl-sjcso 	Florida 	St. Johns County Sheriff's Office 	Y
fl-slcs 	Florida 	St. Lucie County Sheriff's Office 	Y
fl-smtr 	Florida 	Sumter County Sheriff’s Office 	Y
fl-suwa 	Florida 	Suwannee County Sheriff's Office 	Y
fl-vcc 	Florida 	Volusia County Corrections 	Y
fl-wcso 	Florida 	Walton County Sheriff's Office 	Y
ga-ccso 	Georgia 	Chatham County Sheriff's Office 	Y
ga-cobb 	Georgia 	Cobb County Adult Detention Facilities 	Y
ga-colum 	Georgia 	Columbia County Sheriff's Office 	Y
ga-cwt 	Georgia 	Coweta County Sheriff’s Office 	Y
ga-dcso 	Georgia 	Dawson County Sheriff's Office 	Y
ga-dgls 	Georgia 	Douglas County Sheriff's Office 	Y
ga-ftt 	Georgia 	Fayette County Sheriff's Office 	Y
ga-fld 	Georgia 	Floyd County Sheriff's Office 	Y
ga-fcso 	Georgia 	Fulton County Sheriff's Office 	Y
ga-gcsd 	Georgia 	Gwinnett County Sheriff's Department 	Y
ga-hcso 	Georgia 	Hall County Sheriff's Office 	Y
ga-lcso 	Georgia 	Lumpkin County Sheriff's Office 	Y
ga-ocso 	Georgia 	Oconee County Sheriff's Office 	Y
ga-pcso 	Georgia 	Paulding County Sheriff's Office 	Y
ga-walt 	Georgia 	Walton County Sheriff’s Office 	Y
ga-whte 	Georgia 	White County Sheriff's Office 	Y
ga-wcso 	Georgia 	Whitfield County Sheriff's Office 	Y
id-acso 	Idaho 	Ada County Sheriff's Office 	Y
id-amso 	Idaho 	Adams Co Sheriff's Office 	Y
id-bann 	Idaho 	Bannock County Sheriff’s Office 	Y
id-bnso 	Idaho 	Benewah County Sheriff's Office 	Y
id-bcso 	Idaho 	Bingham Co Sheriff's Office 	Y
id-blso 	Idaho 	Blaine County Sheriff's Office 	Y
id-btso 	Idaho 	Butte Co Sheriff's Office 	Y
id-cany 	Idaho 	Canyon County Sheriff's Office 	Y
id-ccso 	Idaho 	Cassia Co Sheriff's Office 	Y
id-ecso 	Idaho 	Elmore Co Sheriff's Office 	Y
id-fcso 	Idaho 	Fremont Co Sheriff's Office 	Y
